bitcoin,gold,azadi,usd,timestamp
"96,755.5","4,590,701","50,000,000",70550,2024-11-30 22:23:43
"97,104.95","4,561,383","49,400,000",70300,2024-12-01 13:17:59
"97,704.21","4,560,690","49,400,000",70350,2024-12-01 22:11:32
"97,583.57","4,560,690","49,400,000",70350,2024-12-02 03:30:13
"96,274.63","4,560,690","49,300,000",70500,2024-12-02 06:13:30
"95,227.85","4,588,854","49,500,000",70950,2024-12-02 09:10:45
"95,151.0","4,585,160","49,500,000",70700,2024-12-02 12:16:54
"96,341.42","4,588,854","49,500,000",70700,2024-12-02 15:09:46
"95,301.52","4,587,469","49,500,000",70850,2024-12-02 18:11:58
"95,519.96","4,587,469","49,500,000",70850,2024-12-02 21:08:08
"96,053.39","4,587,469","49,500,000",70850,2024-12-03 00:41:19
"96,076.47","4,587,469","49,500,000",70850,2024-12-03 03:29:44
"96,170.17","4,587,469","49,500,000",70850,2024-12-03 06:13:32
